Trabajo;Desc. Actuación;Desc. Estado HIPPO Trabajo;Contador de plazo legal;Número de Reclamaciones
918223010154.1;P.S.: SAN ISIDRO LABRADOR, 20 MADRID;PEND.INST.PART;0;1
918222010127.1;P.S.: UZP0204 LOS BERROCALES, 1029 MADRID;STOP;0;1
918221120211.1;P.S.: VILLAVERDE A PERALES RIO, 17 MADRID;EJECUTADO;49;1
918222120373.1;P.S.: VALDERRIBAS, 16 MADRID;REPROGRAMADO;9;9
918222120304.1;P.S.: ROSARIO, 6 MADRID;PEND.INST.PART;0;1
918222120480.1;RET.: BENADALID, 2 MADRID;STOP;0;4
918222030510.1;RET.: LAGO MICHIGAN, 3 MADRID;STOP;0;3
918223010292.1;P.S.: MENDEZ ALVARO, 58 MADRID;REPROGRAMADO;215;1
918222110538.1;P.S.: CARRETAS, 9 MADRID;PEND.INST.PART;0;
918223010223.1;P.S.: ORELLANA, 1 MADRID;PEND.INST.PART;0;
918223010408.1;P.S.: DE LOS PONTONES, 29 MADRID;STOP;0;11
918122110286.1;P.S.: DESAMPARADOS, 15 MADRID;STOP;0;
918223010105.1;P.S.: MAESTRO VITORIA, 8 MADRID;PEND.INST.PART;0;1
418419010020.1;P.S.: CELENQUE, 2 MADRID;EJECUTADO;416;
918222090343.1;RET.: YESERIAS, 6 MADRID;REPROGRAMAR;0;
918223010446.1;P.S.: TERESA LOPEZ VALCARCEL, 0 MADRID;STOP;0;
918221070273.1;RET.: UZP0202 LOS CERROS, 3701 MADRID;STOP;0;1
918222040410.1;P.S.: ISLA DE LUZON, 45 MADRID;PROGRAMADO;15;5
918223020350.1;RET.: ENCOMIENDA DE PALACIOS, 166 MADRID;EJECUTADO;0;1
918221120018.1;RET.: VILLABLANCA, 50 MADRID;REPROGRAMAR;0;1
918222100440.1;P.S.: SAN CIPRIANO, 0 MADRID;STOP;0;1
918223030312.1;P.S.: RETAMA, 3 MADRID;PEND.INST.PART;0;2
918222030436.1;P.S.: ESPAÑA, 18 MADRID;STOP;0;8
918223020341.1;P.S.: MAYORAZGO, 4 MADRID;PROGRAMADO;13;5
918223030394.1;P.S.: SAN ISIDRO LABRADOR, 20 MADRID;PEND.INST.PART;0;1
918223030031.1;P.S.: DE LA CIUDAD DE PLASENCIA, 0 MADRID;PEND.INST.PART;0;1
918223030264.1;P.S.: LA GRANJA SAN ILDEFONSO, 31 MADRID;EJECUTADO;19;5
918222090221.1;RET.: SAN CLAUDIO, 115 MADRID;REPROGRAMADO;0;6
918223020555.1;P.S.: ALBUFERA, 0022 MADRID;STOP;0;
418519060118.1;P.S.: MENDEZ ALVARO, 61 MADRID;PROGRAMADO;63;5
418519060118.9;P.S.: MENDEZ ALVARO, 61 MADRID;PROGRAMADO;63;5
918223030196.1;P.S.: REYES MAGOS, 14 MADRID;REPROGRAMADO;9;1
918222060285.1;P.S.: SANTA EUGENIA, 2 MADRID;REPROGRAMADO;49;4
